アスパラガスサラダ,asparagus salad
アボカドサラダ,avocado salad
うなぎの蒲焼,grilled eel
ウニ丼,rice bowl topped with sea urchin
エビフライ,fried prawn
おかゆ,rice porridge
お好み焼き,okonomiyaki
お茶漬け,bowl of seasoned rice with tea
オムレツ,omelet
ガーリックブレッド,garlic bread
カツ丼,pork cutlet bowl
カニ肉のソテー,crabmeat saute
カレー,curry
カレーライス,curry and rice
牛丼,beef bowl
餃子,pot stickers
グリルチーズサンドイッチ,grilled cheese sandwich
コールスロー,coleslaw
コロッケ,croquette
コンソメスープ,consomme
サーロイン・ステーキ,sirloin steak
魚の煮物,boiled fish
魚のフライ,fried fish
サケの炭火焼き,charcoal grilled salmon
サバの塩焼き,mackerel baked with salt
サラダ,salad
シーフードサラダ,seafood salad
シーフードピラフ,seafood pilaf
舌平目のムニエル,grilled sole
スクランブルエッグ,scrambled eggs
寿司,sushi
ステーキ,steak
スパゲティ,spaghetti
スモーク・サーモン,smoked salmon
タコス,taco
卵のマヨネーズあえ,egg mayonnaise
タラのステーキ,codfish steak
チーズバーガー,cheeseburger
チキン・グラタン,chicken pot pie
チキンクリームスープ,cream of chicken soup
チャーハン,fried rice
漬物,pickled vegetables
テリーヌ,terrine
トースト,toast
トマトスープ,tomato soup
豚カツ,pork cutlet
ナチョス,nachos
生ガキ,oyster
ニシンのサラダ,herring salad
煮物,boiled dish
パスタ,pasta
ハンバーガー,hamburger
パン,bread
ビーフシチュー,beef stew
日替わりスープ,soup of the day
ピザ,pizza
ピラフ,rice pilaf
フライドチキン,fried chicken
フライドポテト,french fries
ベークドポテト,baked potato
ポタージュスープ,potage
ホットドッグ,hot dog
マッシュポテト,mashed potato
ミートパイ,meat pie
ミートローフ,meatloaf
味噌汁,miso soup
メカジキのあぶり焼き,broiled sword fish
目玉焼き,sunny-side up
野菜サラダ,green salad
野菜スープ,vegetable soup
ラーメン,ramen noodles
レタスサラダ,lettuce salad
ローストチキン,roast chicken
ローストビーフ,roast beef
ロールパン,roll
冷肉盛り合わせ,assorted cold meat
