油,oil
梅干し,umeboshi
鴨肉,duck
缶詰,cannedfood
牛肉,beef
牛ひき肉,groundbeef
子牛の肉,veal
コテージチーズ,cottagecheese
子羊の肉,lamb
小麦粉,flour
米,rice
魚,fish
サラミ,salami
七面鳥の肉,turkey
シチュー用牛肉,stewingbeef
ジャム,jam
シリアル,cereal
ソーセージ,sausage
卵,egg
チーズ,cheese
チェダーチーズ,cheddarcheese
ツナ,tuna
手羽,wings
豆腐,tofu
鶏肉,chicken
鶏ひき肉,groundchicken
納豆,natto
肉,meat
乳製品,dairyproduct
パスタ,pasta
バター,butter
ハム,ham
パン,bread
ピクルス,pickles
豚肉,pork
豚肉の厚切り,porkchop
豚ひき肉,groundpork
ベーコン,bacon
マーガリン,margarine
胸肉,breast
もも肉,thigh
野菜,vegetable
ライ麦パン,ryebread
冷凍食品,frozenfood
レバー,liver
ロールパン,roll
